Bacteria,Fago
m_avium_ssp_paratuberculosis_k10,MarQuardt
m_avium_ssp_paratuberculosis_k10,SweetiePie
m_avium_ssp_paratuberculosis_k10,Larenn
m_avium_ssp_paratuberculosis_k10,Taurus
m_avium_ssp_paratuberculosis_k10,Marie
m_avium_ssp_paratuberculosis_k10,Malinsilva
m_avium_ssp_paratuberculosis_k10,Hercules11
m_avium_ssp_paratuberculosis_k10,EvilGenius
m_avium_ssp_paratuberculosis_k10,ChipMunk
m_avium_ssp_paratuberculosis_k10,Penny1
m_avium_ssp_paratuberculosis_k10,Aglet
m_avium_ssp_paratuberculosis_k10,Pukovnik
m_avium_ssp_paratuberculosis_k10,Jobu08
m_avium_ssp_paratuberculosis_k10,Turbido
m_avium_ssp_paratuberculosis_k10,Trixie
m_avium_ssp_paratuberculosis_k10,Kampy
m_avium_ssp_paratuberculosis_k10,Phantastic
m_bovis_bcg,Chy5
m_bovis_bcg,Chy4
m_bovis_bcg,Sbash
m_leprae,Phayonce
m_marinum,Melvin
m_marinum,Giles
m_marinum,Turbido
m_smegmatis,Eagle
m_smegmatis,Vix
m_smegmatis,Medusa
m_smegmatis,Anubis
m_smegmatis,Equemioh13
m_smegmatis,Tiffany
m_smegmatis,Piro94
m_smegmatis,MarQuardt
m_smegmatis,SweetiePie
m_smegmatis,Larenn
m_smegmatis,Taurus
m_smegmatis,Marie
m_smegmatis,Malinsilva
m_smegmatis,Hercules11
m_smegmatis,EvilGenius
m_smegmatis,ChipMunk
m_smegmatis,Penny1
m_smegmatis,Aglet
m_smegmatis,Pukovnik
m_smegmatis,Jobu08
m_smegmatis,Turbido
m_smegmatis,Trixie
m_smegmatis,Kampy
m_smegmatis,Phantastic
m_ssp_jls,Melvin
m_ssp_jls,Giles
m_ssp_jls,Acadian
m_ssp_jls,Turbido
m_ssp_kms,Melvin
m_ssp_kms,Giles
m_ssp_kms,Turbido
m_ssp_mcs,Melvin
m_ssp_mcs,Giles
m_ssp_mcs,Turbido
mtb_cdc1551,Chy5
mtb_cdc1551,Chy4
mtb_cdc1551,Sbash
mtb_f11,Chy5
mtb_f11,Chy4
mtb_f11,Sbash
mtb_h37ra,Chy5
mtb_h37ra,Chy4
mtb_h37ra,Sbash
m_ulcerans ,Melvin
m_ulcerans ,Giles
m_ulcerans ,Turbido
m_vanbaalenii,Melvin
m_vanbaalenii,Phayonce
m_vanbaalenii,Turbido
mtb_h37rv,Chy5
mtb_h37rv,Chy4
mtb_h37rv,Sbash
m_gilvum,Melvin
m_gilvum,Turbido
m_abscessus,Bactobuster
m_abscessus,Che12
m_abscessus,Adzzy
m_abscessus,DS6A
m_intracellulare,Eagle
m_intracellulare,LHTSCC
m_intracellulare,Medusa
m_intracellulare,BellusTerra
m_intracellulare,Melvin
m_intracellulare,Obama12
m_intracellulare,Equemioh13
m_intracellulare,Piro94
m_intracellulare,SweetiePie
m_intracellulare,Larenn
m_intracellulare,EvilGenius
m_intracellulare,ChipMunk
m_intracellulare,Pukovnik
m_intracellulare,Turbido
m_intracellulare,Trixie
m_intracellulare,Kampy
m_intracellulare,Phantastic
m_liflandii,Melvin
m_liflandii,Giles
m_liflandii,Turbido
m_shigaense,Eagle
m_shigaense,Vix
m_shigaense,LHTSCC
m_shigaense,Medusa
m_shigaense,Anubis
m_shigaense,BellusTerra
m_shigaense,Melvin
m_shigaense,Obama12
m_shigaense,Equemioh13
